Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Number of under-five deaths,SH.DTH.MORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Number of under-five deaths,SH.DTH.MORT,106591,105919,106139,107279,109029,111197,113492,115839,117985,119793,121086,121829,121872,121272,120108,118258,115882,112859,109369,105501,101383,97161,93123,89270,85790,82685,79881,77300,
Angola,AGO,Number of under-five deaths,SH.DTH.MORT,137266,140872,144370,147764,150902,153629,155991,157704,158806,159275,159215,158486,157073,155007,151975,148341,143920,139176,133979,128333,122844,117403,112365,107777,103991,100992,98337,96345,
Albania,ALB,Number of under-five deaths,SH.DTH.MORT,3176,2991,2803,2614,2416,2218,2019,1824,1637,1463,1300,1153,1020,901,795,702,623,558,503,459,423,395,372,353,338,325,314,304,
Andorra,AND,Number of under-five deaths,SH.DTH.MORT,6,6,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,
Arab World,ARB,Number of under-five deaths,SH.DTH.MORT,631283,614863,598356,582218,566148,550386,535275,520950,507533,494924,483447,472997,463501,455075,447702,441282,435532,429908,424542,419866,415904,412737,410002,405635,400556,394256,387520,379641,
United Arab Emirates,ARE,Number of under-five deaths,SH.DTH.MORT,794,763,731,702,674,648,626,609,595,587,585,588,598,613,631,650,670,689,707,721,732,741,752,765,783,802,817,820,
Argentina,ARG,Number of under-five deaths,SH.DTH.MORT,20366,20155,19676,18989,18214,17436,16674,15954,15289,14692,14155,13669,13214,12795,12416,12089,11816,11595,11389,11142,10818,10431,9992,9523,9054,8597,8175,7793,
Armenia,ARM,Number of under-five deaths,SH.DTH.MORT,3789,3467,3130,2790,2462,2159,1889,1661,1474,1326,1214,1134,1078,1035,1001,969,937,904,867,829,787,744,698,654,611,569,529,492,
American Samoa,ASM,Number of under-five deaths,SH.DTH.MORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Number of under-five deaths,SH.DTH.MORT,35,33,31,30,29,28,28,27,26,26,25,24,23,22,21,20,20,19,18,17,16,15,15,14,14,13,13,12,
Australia,AUS,Number of under-five deaths,SH.DTH.MORT,2317,2203,2087,1978,1880,1797,1728,1669,1619,1574,1538,1511,1497,1497,1505,1513,1514,1506,1488,1459,1418,1368,1315,1266,1221,1179,1140,1104,
Austria,AUT,Number of under-five deaths,SH.DTH.MORT,840,805,763,714,659,605,557,517,487,465,449,435,422,408,394,380,368,359,352,345,338,331,322,314,309,305,303,301,
Azerbaijan,AZE,Number of under-five deaths,SH.DTH.MORT,19449,19369,19134,18686,17999,17038,15902,14619,13267,11966,10781,9738,8847,8122,7537,7074,6726,6467,6258,6098,5942,5766,5544,5277,4980,4636,4279,3923,
Burundi,BDI,Number of under-five deaths,SH.DTH.MORT,45733,46963,47863,48285,48232,47737,46926,45830,44543,43228,42007,40889,39957,39159,38380,37551,36663,35712,34722,33732,32800,31872,30885,29953,29028,28236,27544,26954,
Belgium,BEL,Number of under-five deaths,SH.DTH.MORT,1193,1152,1102,1043,976,906,840,783,737,700,671,648,629,615,604,596,590,584,577,570,562,554,544,533,522,511,499,486,
Benin,BEN,Number of under-five deaths,SH.DTH.MORT,38883,38877,38825,38802,38848,39028,39349,39721,39982,40127,40084,39884,39576,39219,38907,38685,38642,38728,38956,39262,39612,39927,40131,40166,40049,39781,39452,39045,
